Field ID	Description	Category
54	UK Biobank assessment centre	Reception  
25767	90th percentile of BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast	Task functional brain MRI  
25763	90th percentile of BOLD effect (in group-defined mask) for faces activation	Task functional brain MRI  
25765	90th percentile of BOLD effect (in group-defined mask) for faces-shapes contrast	Task functional brain MRI  
25761	90th percentile of BOLD effect (in group-defined mask) for shapes activation	Task functional brain MRI  
25768	90th percentile of z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast	Task functional brain MRI  
25764	90th percentile of z-statistic (in group-defined mask) for faces activation	Task functional brain MRI  
25766	90th percentile of z-statistic (in group-defined mask) for faces-shapes contrast	Task functional brain MRI  
25762	90th percentile of z-statistic (in group-defined mask) for shapes activation	Task functional brain MRI  
25780	Acquisition protocol phase.	Brain MRI  
25733	Amount of warping applied to non-linearly align T1 brain image to standard-space	T1 structural brain MRI  
12139	Believed safe to perform brain MRI scan	Brain MRI  
12188	Brain MRI measurement completed	Brain MRI  
12187	Brain MRI measuring method	Brain MRI  
25738	Discrepancy between SWI brain image and T1 brain image	Susceptibility weighted brain MRI  
25731	Discrepancy between T1 brain image and standard-space brain template (linearly-aligned)	T1 structural brain MRI  
25732	Discrepancy between T1 brain image and standard-space brain template (nonlinearly-aligned)	T1 structural brain MRI  
25736	Discrepancy between T2 FLAIR brain image and T1 brain image	T2-weighted brain MRI  
25737	Discrepancy between dMRI brain image and T1 brain image	Diffusion brain MRI  
25739	Discrepancy between rfMRI brain image and T1 brain image	Resting functional brain MRI  
25740	Discrepancy between tfMRI brain image and T1 brain image	Task functional brain MRI  
12651	Duration of eprime test	Task functional brain MRI  
25747	Eprime advisor file	Task functional brain MRI  
25749	Eprime ed2 file	Task functional brain MRI  
12706	Eprime error flag	Task functional brain MRI  
25748	Eprime txt file	Task functional brain MRI  
20225	Functional brain images - resting - DICOM	Resting functional brain MRI  
20227	Functional brain images - resting - NIFTI	Resting functional brain MRI  
20217	Functional brain images - task - DICOM	Task functional brain MRI  
20249	Functional brain images - task - NIFTI	Task functional brain MRI  
25735	Inverted contrast-to-noise ratio in T1	T1 structural brain MRI  
25734	Inverted signal-to-noise ratio in T1	T1 structural brain MRI  
25744	Inverted temporal signal-to-noise ratio in artefact-cleaned pre-processed rfMRI	Resting functional brain MRI  
25743	Inverted temporal signal-to-noise ratio in pre-processed rfMRI	Resting functional brain MRI  
