Field ID	Description	Category
100580	Alcohol consumed	Alcoholic beverages yesterday  
100710	Beer/cider intake	Alcoholic beverages yesterday  
100720	Fortified wine intake	Alcoholic beverages yesterday  
100740	Other alcohol intake	Alcoholic beverages yesterday  
100590	Red wine intake	Alcoholic beverages yesterday  
100630	Rose wine intake	Alcoholic beverages yesterday  
20096	Size of red wine glass drunk	Alcoholic beverages yesterday  
20097	Size of rose wine glass drunk	Alcoholic beverages yesterday  
20095	Size of white wine glass drunk	Alcoholic beverages yesterday  
100730	Spirits intake	Alcoholic beverages yesterday  
100670	White wine intake	Alcoholic beverages yesterday  
101020	Baguette intake	Bread/pasta/rice yesterday  
101090	Bap intake	Bread/pasta/rice yesterday  
100940	Bread consumed	Bread/pasta/rice yesterday  
101160	Bread roll intake	Bread/pasta/rice yesterday  
102740	Brown rice intake	Bread/pasta/rice yesterday  
101300	Butter/margarine on bread/crackers	Bread/pasta/rice yesterday  
102770	Couscous intake	Bread/pasta/rice yesterday  
101250	Crispbread intake	Bread/pasta/rice yesterday  
101240	Garlic bread intake	Bread/pasta/rice yesterday  
101230	Naan bread intake	Bread/pasta/rice yesterday  
101350	Number of baguettes with butter/margarine	Bread/pasta/rice yesterday  
101390	Number of baps with butter/margarine	Bread/pasta/rice yesterday  
101430	Number of bread rolls with butter/margarine	Bread/pasta/rice yesterday  
101310	Number of bread slices with butter/margarine	Bread/pasta/rice yesterday  
101470	Number of crackers/crispbreads with butter/margarine	Bread/pasta/rice yesterday  
101510	Number of oatcakes with butter/margarine	Bread/pasta/rice yesterday  
101550	Number of other bread types with butter/margarine	Bread/pasta/rice yesterday  
101260	Oatcakes intake	Bread/pasta/rice yesterday  
101270	Other bread intake	Bread/pasta/rice yesterday  
102780	Other grain intake	Bread/pasta/rice yesterday  
100950	Sliced bread intake	Bread/pasta/rice yesterday  
102760	Snackpot intake	Bread/pasta/rice yesterday  
102700	Starchy food consumers	Bread/pasta/rice yesterday  
102750	Sushi intake	Bread/pasta/rice yesterday  
20099	Thickness of butter/margarine spread on baguettes	Bread/pasta/rice yesterday  
20101	Thickness of butter/margarine spread on bread rolls	Bread/pasta/rice yesterday  
20102	Thickness of butter/margarine spread on crackers/crispbreads	Bread/pasta/rice yesterday  
20100	Thickness of butter/margarine spread on large baps	Bread/pasta/rice yesterday  
20103	Thickness of butter/margarine spread on oatcakes	Bread/pasta/rice yesterday  
20104	Thickness of butter/margarine spread on other bread	Bread/pasta/rice yesterday  
20098	Thickness of butter/margarine spread on sliced bread	Bread/pasta/rice yesterday  
20092	Type of baguette eaten	Bread/pasta/rice yesterday  
20094	Type of bread roll eaten	Bread/pasta/rice yesterday  
20093	Type of large bap eaten	Bread/pasta/rice yesterday  
20091	Type of sliced bread eaten	Bread/pasta/rice yesterday  
20087	Types of spread used on bread/crackers	Bread/pasta/rice yesterday  
102710	White pasta intake	Bread/pasta/rice yesterday  
102730	White rice intake	Bread/pasta/rice yesterday  
102720	Wholemeal pasta intake	Bread/pasta/rice yesterday  
100840	Bran cereal intake	Cereal yesterday  
100760	Breakfast cereal consumed	Cereal yesterday  
100880	Dried fruit added to cereal	Cereal yesterday  
100910	Intake of artificial sweetener added to cereal	Cereal yesterday  
100900	Intake of sugar added to cereal	Cereal yesterday  
20105	Liquid used to make porridge	Cereal yesterday  
