Field ID	Description	Category
1767	Adopted as a child	Early life factors  
20022	Birth weight	Early life factors  
120	Birth weight known	Early life factors  
1677	Breastfed as a baby	Early life factors  
1687	Comparative body size at age 10	Early life factors  
1697	Comparative height size at age 10	Early life factors  
20115	Country of Birth (non-UK origin)	Early life factors  
1647	Country of birth (UK/elsewhere)	Early life factors  
1707	Handedness (chirality/laterality)	Early life factors  
1787	Maternal smoking around birth	Early life factors  
1777	Part of a multiple birth	Early life factors  
130	Place of birth in UK - east co-ordinate	Early life factors  
129	Place of birth in UK - north co-ordinate	Early life factors 
