
Field ID	Description	Category
20552	Behavioural and miscellaneous addictions	Addictions  
20431	Ever addicted to a behaviour or miscellanous	Addictions  
20406	Ever addicted to alcohol	Addictions  
20401	Ever addicted to any substance or behaviour	Addictions  
20456	Ever addicted to illicit or recreational drugs	Addictions  
20503	Ever addicted to prescription or over-the-counter medication	Addictions  
20404	Ever physically dependent on alcohol	Addictions  
20457	Ongoing addiction or dependence on illicit or recreational drugs	Addictions  
20504	Ongoing addiction or dependence to over-the-counter medication	Addictions  
20415	Ongoing addiction to alcohol	Addictions  
20432	Ongoing behavioural or miscellanous addiction	Addictions  
20551	Substance of prescription or over-the-counter medication addiction	Addictions  
20410	Age when known person last commented about drinking habits	Alcohol use  
20403	Amount of alcohol drunk on a typical drinking day	Alcohol use  
20411	Ever been injured or injured someone else through drinking alcohol	Alcohol use  
20405	Ever had known person concerned about, or recommend reduction of, alcohol consumption	Alcohol use  
20416	Frequency of consuming six or more units of alcohol	Alcohol use  
20414	Frequency of drinking alcohol	Alcohol use  
20407	Frequency of failure to fulfil normal expectations due to drinking alcohol in last year	Alcohol use  
20409	Frequency of feeling guilt or remorse after drinking alcohol in last year	Alcohol use  
20413	Frequency of inability to cease drinking in last year	Alcohol use  
20408	Frequency of memory loss due to drinking alcohol in last year	Alcohol use  
20412	Frequency of needing morning drink of alcohol after heavy drinking session in last year	Alcohol use  
20550	Activities undertaken to treat anxiety	Anxiety  
20419	Difficulty concentrating during worst period of anxiety	Anxiety  
20541	Difficulty stopping worrying during worst period of anxiety	Anxiety  
20429	Easily tired during worst period of anxiety	Anxiety  
20421	Ever felt worried, tense, or anxious for most of a month or longer	Anxiety  
20425	Ever worried more than most people would in similar situation	Anxiety  
20537	Frequency of difficulty controlling worry during worst period of anxiety	Anxiety  
20539	Frequency of inability to stop worrying during worst period of anxiety	Anxiety  
20427	Frequent trouble falling or staying asleep during worst period of anxiety	Anxiety  
20418	Impact on normal roles during worst period of anxiety	Anxiety  
20423	Keyed up or on edge during worst period of anxiety	Anxiety  
20420	Longest period spent worried or anxious	Anxiety  
20422	More irritable than usual during worst period of anxiety	Anxiety  
20540	Multiple worries during worst period of anxiety	Anxiety  
20543	Number of things worried about during worst period of anxiety	Anxiety  
20428	Professional informed about anxiety	Anxiety  
20505	Recent easy annoyance or irritability	Anxiety  
20512	Recent feelings of foreboding	Anxiety  
20506	Recent feelings or nervousness or anxiety	Anxiety  
20509	Recent inability to stop or control worrying	Anxiety  
20516	Recent restlessness	Anxiety  
20515	Recent trouble relaxing	Anxiety  
20520	Recent worrying too much about different things	Anxiety  
20426	Restless during period of worst anxiety	Anxiety  
20542	Stronger worrying (than other people) during period of worst anxiety	Anxiety  
20549	Substances taken for anxiety	Anxiety  
20417	Tense, sore, or aching muscles during worst period of anxiety	Anxiety  
20538	Worried most days during period of worst anxiety	Anxiety  
20455	Age when last took cannabis	Cannabis use  
20453	Ever taken cannabis	Cannabis use  
20454	Maximum frequency of taking cannabis	Cannabis use  
20547	Activities undertaken to treat depression	Depression  
20433	Age at first episode of depression	Depression  
20434	Age at last episode of depression	Depression  
20445	Depression possibly related to childbirth	Depression  
20447	Depression possibly related to stressful or traumatic event	Depression  
20532	Did your sleep change?	Depression  
20435	Difficulty concentrating during worst depression	Depression  
20438	Duration of worst depression	Depression  
20446	Ever had prolonged feelings of sadness or depression	Depression  
20441	Ever had prolonged loss of interest in normal activities	Depression  
20449	Feelings of tiredness during worst episode of depression	Depression  
20450	Feelings of worthlessness during worst period of depression	Depression  
20436	Fraction of day affected during worst episode of depression	Depression  
20439	Frequency of depressed days during worst episode of depression	Depression  
20440	Impact on normal roles during worst period of depression	Depression  
20442	Lifetime number of depressed periods	Depression  
20448	Professional informed about depression	Depression  
20518	Recent changes in speed/amount of moving or speaking	Depression  
20510	Recent feelings of depression	Depression  
20507	Recent feelings of inadequacy	Depression  
20519	Recent feelings of tiredness or low energy	Depression  
20514	Recent lack of interest or pleasure in doing things	Depression  
20511	Recent poor appetite or overeating	Depression  
20513	Recent thoughts of suicide or self-harm	Depression  
20508	Recent trouble concentrating on things	Depression  
20534	Sleeping too much	Depression  
20546	Substances taken for depression	Depression  
20437	Thoughts of death during worst depression	Depression  
20533	Trouble falling asleep	Depression  
20517	Trouble falling or staying asleep, or sleeping too much	Depression  
20535	Waking too early	Depression  
20536	Weight change during worst episode of depression	Depression  
20460	Belief that own life is meaningful	Happiness and subjective well-being  
20458	General happiness	Happiness and subjective well-being  
20459	General happiness with own health	Happiness and subjective well-being  
20502	Ever had period extreme irritability	Mania  
20501	Ever had period of mania / excitability	Mania  
20492	Longest period of mania or irritability	Mania  
20548	Manifestations of mania or irritability	Mania  
20493	Severity of problems due to mania or irritability	Mania  
20499	Ever sought or received professional help for mental distress	Mental distress  
20500	Ever suffered mental distress preventing usual activities	Mental distress  
20544	Mental health problems ever diagnosed by a professional	Mental distress  
